time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,48,19,8,1
2026-09-11 00:00:00+00:00,40,18,3,1
2026-09-12 00:00:00+00:00,5,5,0,0
2026-09-13 00:00:00+00:00,16,12,0,0
2026-09-14 00:00:00+00:00,95,15,6,1
2026-09-15 00:00:00+00:00,23,10,52,2
2026-09-16 00:00:00+00:00,6,6,1,1
2026-09-17 00:00:00+00:00,8,4,1,1
2026-09-18 00:00:00+00:00,3,3,0,0
2026-09-19 00:00:00+00:00,3,3,0,0
2026-09-20 00:00:00+00:00,7,7,0,0
2026-09-21 00:00:00+00:00,2,2,2,2
2026-09-22 00:00:00+00:00,3,3,8,1
2026-09-23 00:00:00+00:00,3,3,0,0
